created_at	volume	rank	twitter_id	text	show_text
2016-05-28 15:48:00	25				
2016-05-28 15:49:00	32				
2016-05-28 15:50:00	45				
2016-05-28 15:51:00	35				
2016-05-28 15:52:00	29				
2016-05-28 15:53:00	33				
2016-05-28 15:54:00	30				
2016-05-28 15:55:00	33				
2016-05-28 15:56:00	28				
2016-05-28 15:57:00	33				
2016-05-28 15:58:00	36				
2016-05-28 15:59:00	41				
2016-05-28 16:00:00	65				
2016-05-28 16:01:00	66				
2016-05-28 16:02:00	25				
2016-05-28 16:03:00	36				
2016-05-28 16:04:00	42				
2016-05-28 16:05:00	37				
2016-05-28 16:06:00	27				
2016-05-28 16:07:00	37				
2016-05-28 16:08:00	38				
2016-05-28 16:09:00	33				
2016-05-28 16:10:00	76				
2016-05-28 16:11:00	38				
2016-05-28 16:12:00	31				
2016-05-28 16:13:00	31				
2016-05-28 16:14:00	32				
2016-05-28 16:15:00	38				
2016-05-28 16:16:00	34				
2016-05-28 16:17:00	36				
2016-05-28 16:18:00	33				
2016-05-28 16:19:00	37				
2016-05-28 16:20:00	43				
2016-05-28 16:21:00	29				
2016-05-28 16:22:00	47				
2016-05-28 16:23:00	53				
2016-05-28 16:24:00	35				
2016-05-28 16:25:00	51				
2016-05-28 16:26:00	28				
2016-05-28 16:27:00	40				
2016-05-28 16:28:00	34				
2016-05-28 16:29:00	40				
2016-05-28 16:30:00	44				
2016-05-28 16:31:00	41				
2016-05-28 16:32:00	31				
2016-05-28 16:33:00	33				
2016-05-28 16:34:00	28				
2016-05-28 16:35:00	44				
2016-05-28 16:36:00	38				
2016-05-28 16:37:00	55				
2016-05-28 16:38:00	45				
2016-05-28 16:39:00	35				
2016-05-28 16:40:00	51				
2016-05-28 16:41:00	46				
2016-05-28 16:42:00	37				
2016-05-28 16:43:00	44				
2016-05-28 16:44:00	40				
2016-05-28 16:45:00	57				
2016-05-28 16:46:00	49				
2016-05-28 16:47:00	64				
2016-05-28 16:48:00	55				
2016-05-28 16:49:00	40				
2016-05-28 16:50:00	45				
2016-05-28 16:51:00	55				
2016-05-28 16:52:00	49				
2016-05-28 16:53:00	49				
2016-05-28 16:54:00	32				
2016-05-28 16:55:00	44				
2016-05-28 16:56:00	49				
2016-05-28 16:57:00	44				
2016-05-28 16:58:00	36				
2016-05-28 16:59:00	40				
