id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
697815000862298114	2016-02-11 16:10:35	UNGeneva: LIVE on #Periscope: Behind the scenes at #TEDxNations break time https://t.co/X4MwJCGBXt	UNGeneva: LIVE on #Periscope: Behind the scenes at #TEDxNations break time 	UNGeneva: LIVE on Periscope: Behind the scenes at TEDxNations break time 	ungeneva live periscope behind scenes tedxnations break time	ungeneva live periscop behind scene tedxnat break time
697814770519556096	2016-02-11 16:09:40	Getting ready to watch @RanyeeCleanCook at #TEDxNations. She is Geneva, we are watching live here: https://t.co/d4ITOAhd97 #coostoves	Getting ready to watch @RanyeeCleanCook at #TEDxNations. She is Geneva, we are watching live here:  #coostoves	Getting ready to watch RanyeeCleanCook at TEDxNations. She is Geneva, we are watching live here:  coostoves	getting ready watch ranyeecleancook tedxnations geneva watching live coostoves	get readi watch ranyeecleancook tedxnat geneva watch live coostov
697814386660892673	2016-02-11 16:08:09	LIVE on #Periscope: Behind the scenes at #TEDxNations break time  v @UNGeneva	LIVE on #Periscope: Behind the scenes at #TEDxNations break time v @UNGeneva	LIVE on Periscope: Behind the scenes at TEDxNations break time v UNGeneva	live periscope behind scenes tedxnations break time ungeneva	live periscop behind scene tedxnat break time ungeneva
697814224941248512	2016-02-11 16:07:30	People didn't refer to a #migrantcrisis till it hit Europe. There has been #RefugeeCrisis for a long time. #TEDxNations watch party in DC.	People didn't refer to a #migrantcrisis till it hit Europe. There has been #RefugeeCrisis for a long time. #TEDxNations watch party in DC.	People didn't refer to a migrantcrisis till it hit Europe. There has been RefugeeCrisis for a long time. TEDxNations watch party in DC.	people didn't refer migrantcrisis till hit europe refugeecrisis long time tedxnations watch party dc	peopl didn't refer migrantcrisi till hit europ refugeecrisi long time tedxnat watch parti dc
697814200308101121	2016-02-11 16:07:24	The focus has to been on prevention-@SamInterAction on addressing the global #RefugeeCrisis. We must be proactive, not reactive #TEDxNations	The focus has to been on prevention-@SamInterAction on addressing the global #RefugeeCrisis. We must be proactive, not reactive #TEDxNations	The focus has to been on prevention-SamInterAction on addressing the global RefugeeCrisis. We must be proactive, not reactive TEDxNations	focus prevention-saminteraction addressing global refugeecrisis must proactive reactive tedxnations	focus prevention-saminteract address global refugeecrisi must proactiv reactiv tedxnat
697814088060116993	2016-02-11 16:06:58	LIVE on #Periscope: Break at #TEDxNations  https://t.co/thgTtUwQEw	LIVE on #Periscope: Break at #TEDxNations 	LIVE on Periscope: Break at TEDxNations 	live periscope break tedxnations	live periscop break tedxnat
697814016006168576	2016-02-11 16:06:40	Must move from reactionary response to preventative action - @SamInterAction #TEDxNations	Must move from reactionary response to preventative action - @SamInterAction #TEDxNations	Must move from reactionary response to preventative action - SamInterAction TEDxNations	must move reactionary response preventative action saminteraction tedxnations	must move reactionari respons prevent action saminteract tedxnat
697813824108437506	2016-02-11 16:05:55	Focus has to be on #prevention - @SamInterAction #TEDxNations watch party in DC.	Focus has to be on #prevention - @SamInterAction #TEDxNations watch party in DC.	Focus has to be on prevention - SamInterAction TEDxNations watch party in DC.	focus prevention saminteraction tedxnations watch party dc	focus prevent saminteract tedxnat watch parti dc
697813725236088832	2016-02-11 16:05:31	Watch LIVE on #Periscope: #TEDxNations @UNGeneva https://t.co/9YMWnUwJl4	Watch LIVE on #Periscope: #TEDxNations @UNGeneva 	Watch LIVE on Periscope: TEDxNations UNGeneva 	watch live periscope tedxnations ungeneva	watch live periscop tedxnat ungeneva
697813634995613704	2016-02-11 16:05:09	Soon the 5000th baby will be born in #Zaatari w/ no maternal deaths. Amazing!  @UNFPA #TEDxNations #DC watch party	Soon the 5000th baby will be born in #Zaatari w/ no maternal deaths. Amazing! @UNFPA #TEDxNations #DC watch party	Soon the 5000th baby will be born in Zaatari w/ no maternal deaths. Amazing! UNFPA TEDxNations DC watch party	soon 5000th baby born zaatari maternal deaths amazing unfpa tedxnations dc watch party	soon 5000th babi born zaatari matern death amaz unfpa tedxnat dc watch parti
697813186213507072	2016-02-11 16:03:22	#TEDxNations it is a pleasure to have all these lectures #iRights give me #teacher inspiration	#TEDxNations it is a pleasure to have all these lectures #iRights give me #teacher inspiration	TEDxNations it is a pleasure to have all these lectures iRights give me teacher inspiration	tedxnations pleasure lectures irights give teacher inspiration	tedxnat pleasur lectur iright give teacher inspir
697813142622052352	2016-02-11 16:03:12	cannot thank US government enough for its humanitarian leadership -@UNFPAdc #TEDxNations	cannot thank US government enough for its humanitarian leadership -@UNFPAdc #TEDxNations	cannot thank US government enough for its humanitarian leadership -UNFPAdc TEDxNations	cannot thank us government enough humanitarian leadership unfpadc tedxnations	cannot thank us govern enough humanitarian leadership unfpadc tedxnat
697812908798013441	2016-02-11 16:02:16	US gov has assisted UNFPA immensely w/ work against violence, protecting basic resources, and providing support - Sarah Craven #TEDxNations	US gov has assisted UNFPA immensely w/ work against violence, protecting basic resources, and providing support - Sarah Craven #TEDxNations	US gov has assisted UNFPA immensely w/ work against violence, protecting basic resources, and providing support - Sarah Craven TEDxNations	us gov assisted unfpa immensely work violence protecting basic resources providing support sarah craven tedxnations	us gov assist unfpa immens work violenc protect basic resourc provid support sarah craven tedxnat
697812813830459392	2016-02-11 16:01:54	LIVE on #Periscope: Behind the scenes at #TEDxNations break time https://t.co/npWCC9MgWv	LIVE on #Periscope: Behind the scenes at #TEDxNations break time 	LIVE on Periscope: Behind the scenes at TEDxNations break time 	live periscope behind scenes tedxnations break time	live periscop behind scene tedxnat break time
697812686739001344	2016-02-11 16:01:23	Without US Gov support, none of @UNFPA's work in humanirtian situations would be possible -@SarahJCraven #TEDxNations #DC	Without US Gov support, none of @UNFPA's work in humanirtian situations would be possible -@SarahJCraven #TEDxNations #DC	Without US Gov support, none of UNFPA's work in humanirtian situations would be possible -SarahJCraven TEDxNations DC	without us gov support none unfpa's work humanirtian situations would possible sarahjcraven tedxnations dc	without us gov support none unfpa work humanirtian situat would possibl sarahjcraven tedxnat dc
697812499262009344	2016-02-11 16:00:39	It is always a pleasure participating at #TEDxNations talks and hearing stories on Transforming Lives @TEDxPdNations https://t.co/L52JSQItzY	It is always a pleasure participating at #TEDxNations talks and hearing stories on Transforming Lives @TEDxPdNations 	It is always a pleasure participating at TEDxNations talks and hearing stories on Transforming Lives TEDxPdNations 	always pleasure participating tedxnations talks hearing stories transforming lives tedxpdnations	alway pleasur particip tedxnat talk hear stori transform live tedxpdnat
697812445184790528	2016-02-11 16:00:26	US leadership now critical to tackling issues. We must pull back on total war. There are norms to respect. - @SamInterAction #TEDxNations	US leadership now critical to tackling issues. We must pull back on total war. There are norms to respect. - @SamInterAction #TEDxNations	US leadership now critical to tackling issues. We must pull back on total war. There are norms to respect. - SamInterAction TEDxNations	us leadership critical tackling issues must pull back total war norms respect saminteraction tedxnations	us leadership critic tackl issu must pull back total war norm respect saminteract tedxnat
697812345326796800	2016-02-11 16:00:02	No amount of humanitarian assistance will solve the conflict in Syria. It requires a political solution -@SamInterAction | #TEDxNations	No amount of humanitarian assistance will solve the conflict in Syria. It requires a political solution -@SamInterAction | #TEDxNations	No amount of humanitarian assistance will solve the conflict in Syria. It requires a political solution -SamInterAction | TEDxNations	amount humanitarian assistance solve conflict syria requires political solution saminteraction tedxnations	amount humanitarian assist solv conflict syria requir polit solut saminteract tedxnat
697812338825695232	2016-02-11 16:00:00	No amount of humanitarian assistance can solve Syria. - @SamInterAction #TEDxNations	No amount of humanitarian assistance can solve Syria. - @SamInterAction #TEDxNations	No amount of humanitarian assistance can solve Syria. - SamInterAction TEDxNations	amount humanitarian assistance solve syria saminteraction tedxnations	amount humanitarian assist solv syria saminteract tedxnat
697812246873899009	2016-02-11 15:59:39	Retweeted Yinka Olaito (@pathfindernig):Sexual violence destroys , 6th speaker @TEDxPdNations #TEDxNations... https://t.co/AruVPRxHcl	Retweeted Yinka Olaito (@pathfindernig):Sexual violence destroys , 6th speaker @TEDxPdNations #TEDxNations... 	Retweeted Yinka Olaito (pathfindernig):Sexual violence destroys , 6th speaker TEDxPdNations TEDxNations... 	retweeted yinka olaito pathfindernig ): sexual violence destroys 6th speaker tedxpdnations tedxnations	retweet yinka olaito pathfindernig ): sexual violenc destroy 6th speaker tedxpdnat tedxnat
697812202905063424	2016-02-11 15:59:28	@e_cousens asking panel how they see US humanitarian leadership .. what to expect this year in US humanitarian leadership #TEDxNations	@e_cousens asking panel how they see US humanitarian leadership .. what to expect this year in US humanitarian leadership #TEDxNations	e_cousens asking panel how they see US humanitarian leadership .. what to expect this year in US humanitarian leadership TEDxNations	e_cousens asking panel see us humanitarian leadership expect year us humanitarian leadership tedxnations	e_cousen ask panel see us humanitarian leadership expect year us humanitarian leadership tedxnat
697811951309746176	2016-02-11 15:58:28	Us leadership on refugees: most health infrastructure investment has been made by US. Tripled in some areas - @SamInterAction #TEDxNations	Us leadership on refugees: most health infrastructure investment has been made by US. Tripled in some areas - @SamInterAction #TEDxNations	Us leadership on refugees: most health infrastructure investment has been made by US. Tripled in some areas - SamInterAction TEDxNations	us leadership refugees health infrastructure investment made us tripled areas saminteraction tedxnations	us leadership refuge health infrastructur invest made us tripl area saminteract tedxnat
697811922406805504	2016-02-11 15:58:21	What do we do We insist the children rights followed #TEDxNations @TEDxPdNations LagosViewingparty	What do we do We insist the children rights followed #TEDxNations @TEDxPdNations LagosViewingparty	What do we do We insist the children rights followed TEDxNations TEDxPdNations LagosViewingparty	insist children rights followed tedxnations tedxpdnations lagosviewingparty	insist children right follow tedxnat tedxpdnat lagosviewingparti
697811912944455682	2016-02-11 15:58:19	RT unfoundation: At #TEDxNations watch party in #DC, e_cousens, SamInterAction, &amp; Sarah Craven talk bridging the gap btwn humanitarian &amp; de…	RT unfoundation: At #TEDxNations watch party in #DC, e_cousens, SamInterAction, &amp; Sarah Craven talk bridging the gap btwn humanitarian &amp; de…	RT unfoundation: At TEDxNations watch party in DC, e_cousens, SamInterAction,  &  Sarah Craven talk bridging the gap btwn humanitarian  &  de…	rt unfoundation tedxnations watch party dc e_cousens saminteraction sarah craven talk bridging gap btwn humanitarian de	rt unfound tedxnat watch parti dc e_cousen saminteract sarah craven talk bridg gap btwn humanitarian de
697811909161197569	2016-02-11 15:58:18	RT unfoundation: Girls &amp; women are disproportionately affected by humanitarians crises - Sarah Craven, UNFPA | #TEDxNations	RT unfoundation: Girls &amp; women are disproportionately affected by humanitarians crises - Sarah Craven, UNFPA | #TEDxNations	RT unfoundation: Girls  &  women are disproportionately affected by humanitarians crises - Sarah Craven, UNFPA | TEDxNations	rt unfoundation girls women disproportionately affected humanitarians crises sarah craven unfpa tedxnations	rt unfound girl women disproportion affect humanitarian crise sarah craven unfpa tedxnat
697811906954924033	2016-02-11 15:58:17	RT unfoundation: Starting now in #DC! Panel discussion on addressing and mitigating humanitarian crises effectively | #TEDxNations	RT unfoundation: Starting now in #DC! Panel discussion on addressing and mitigating humanitarian crises effectively | #TEDxNations	RT unfoundation: Starting now in DC! Panel discussion on addressing and mitigating humanitarian crises effectively | TEDxNations	rt unfoundation starting dc panel discussion addressing mitigating humanitarian crises effectively tedxnations	rt unfound start dc panel discuss address mitig humanitarian crise effect tedxnat
697811879738142721	2016-02-11 15:58:11	#TEDxNations watch party in DC: @e_cousens asking what we need to see from US in #humanitarian response this year. @unfoundation	#TEDxNations watch party in DC: @e_cousens asking what we need to see from US in #humanitarian response this year. @unfoundation	TEDxNations watch party in DC: e_cousens asking what we need to see from US in humanitarian response this year. unfoundation	tedxnations watch party dc e_cousens asking need see us humanitarian response year unfoundation	tedxnat watch parti dc e_cousen ask need see us humanitarian respons year unfound
697811582299070464	2016-02-11 15:57:00	Small, cost effective innovative and attractive tools can assist people in numerous capacities - Sarah Craven #TEDxNations	Small, cost effective innovative and attractive tools can assist people in numerous capacities - Sarah Craven #TEDxNations	Small, cost effective innovative and attractive tools can assist people in numerous capacities - Sarah Craven TEDxNations	small cost effective innovative attractive tools assist people numerous capacities sarah craven tedxnations	small cost effect innov attract tool assist peopl numer capac sarah craven tedxnat
697811550741078017	2016-02-11 15:56:53	At #TEDxNations watch party in #DC, @e_cousens, @SamInterAction, &amp; Sarah Craven talk bridging the gap btwn humanitarian &amp; develpment worlds	At #TEDxNations watch party in #DC, @e_cousens, @SamInterAction, &amp; Sarah Craven talk bridging the gap btwn humanitarian &amp; develpment worlds	At TEDxNations watch party in DC, e_cousens, SamInterAction,  &  Sarah Craven talk bridging the gap btwn humanitarian  &  develpment worlds	tedxnations watch party dc e_cousens saminteraction sarah craven talk bridging gap btwn humanitarian develpment worlds	tedxnat watch parti dc e_cousen saminteract sarah craven talk bridg gap btwn humanitarian develp world
697811530138718209	2016-02-11 15:56:48	Retweeted UNIC Lagos (@UNICLagos):Start the conversation NOW to end sexual violence - Coline @ #TEDxNations... https://t.co/rQgcordy0Y	Retweeted UNIC Lagos (@UNICLagos):Start the conversation NOW to end sexual violence - Coline @ #TEDxNations... 	Retweeted UNIC Lagos (UNICLagos):Start the conversation NOW to end sexual violence - Coline  TEDxNations... 	retweeted unic lagos uniclagos ): start conversation end sexual violence coline tedxnations	retweet unic lago uniclago ): start convers end sexual violenc colin tedxnat
697811500916940800	2016-02-11 15:56:41	@SarahJCraven highlights the benefits of @UNFPA kits for displaced people that include multi-purpose solar lanterns at #TEDxNations DC event	@SarahJCraven highlights the benefits of @UNFPA kits for displaced people that include multi-purpose solar lanterns at #TEDxNations DC event	SarahJCraven highlights the benefits of UNFPA kits for displaced people that include multi-purpose solar lanterns at TEDxNations DC event	sarahjcraven highlights benefits unfpa kits displaced people include multi-purpose solar lanterns tedxnations dc event	sarahjcraven highlight benefit unfpa kit displac peopl includ multi-purpos solar lantern tedxnat dc event
