id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
714749752122949633	2016-03-29 09:43:14	#EgyptAir #PrayForLahore #PrayForBrussels PreyForTheWorld🙏🏻 https://t.co/uPncqv7Qs7	#EgyptAir #PrayForLahore #PrayForBrussels PreyForTheWorld🙏🏻 	EgyptAir PrayForLahore PrayForBrussels PreyForTheWorld🙏🏻 	egyptair prayforlahore prayforbrussels preyfortheworld	egyptair prayforlahor prayforbrussel preyfortheworld
714749749283397636	2016-03-29 09:43:14	[Live] seven people remain on board #EgyptAir hijacked plane https://t.co/0gpZpFjrGw	[Live] seven people remain on board #EgyptAir hijacked plane 	[Live] seven people remain on board EgyptAir hijacked plane 	live seven people remain board egyptair hijacked plane	live seven peopl remain board egyptair hijack plane
714749747916095489	2016-03-29 09:43:13	"BBCBreaking ""#EgyptAir hijack: 7 people still on board, including 3 passengers - Egyptian officials … https://t.co/p0MENr7U9C"	"BBCBreaking ""#EgyptAir hijack: 7 people still on board, including 3 passengers - Egyptian officials … "	"BBCBreaking ""EgyptAir hijack: 7 people still on board, including 3 passengers - Egyptian officials … "	bbcbreaking egyptair hijack people still board including passengers egyptian officials	bbcbreak egyptair hijack peopl still board includ passeng egyptian offici
714749747316260864	2016-03-29 09:43:13	#Cyprus_President said: no terroristic intentions in the recent #EgyptAir #HijackedPlane in #Cyprus .. https://t.co/tMgoptBDq1	#Cyprus_President said: no terroristic intentions in the recent #EgyptAir #HijackedPlane in #Cyprus .. 	Cyprus_President said: no terroristic intentions in the recent EgyptAir HijackedPlane in Cyprus .. 	cyprus_president said terroristic intentions recent egyptair hijackedplane cyprus	cyprus_presid said terrorist intent recent egyptair hijackedplan cyprus
714749746494251010	2016-03-29 09:43:13	Ibrahim Samaha's wife on #Egypt's TV says he's not the hijacker and he's just a passenger and was actually let off the plane #Egyptair	Ibrahim Samaha's wife on #Egypt's TV says he's not the hijacker and he's just a passenger and was actually let off the plane #Egyptair	Ibrahim Samaha's wife on Egypt's TV says he's not the hijacker and he's just a passenger and was actually let off the plane Egyptair	ibrahim samaha's wife egypt's tv says he's hijacker he's passenger actually let plane egyptair	ibrahim samaha wife egypt tv say he hijack he passeng actual let plane egyptair
714749745726668804	2016-03-29 09:43:13	There's a guy who is hijacking for his estranged wife.So yes, I'm officially saying this, FML. #EgyptAir	There's a guy who is hijacking for his estranged wife.So yes, I'm officially saying this, FML. #EgyptAir	There's a guy who is hijacking for his estranged wife.So yes, I'm officially saying this, FML. EgyptAir	there's guy hijacking estranged wife.so yes i'm officially saying fml egyptair	there guy hijack estrang wife.so yes i'm offici say fml egyptair
714749742006280193	2016-03-29 09:43:12	It turns out all the hijacker wanted  was a hug &amp; possibly get laid. Is that too much for a (mad) man to ask?#EgyptAirHijack #EgyptAir	It turns out all the hijacker wanted was a hug &amp; possibly get laid. Is that too much for a (mad) man to ask?#EgyptAirHijack #EgyptAir	It turns out all the hijacker wanted was a hug  &  possibly get laid. Is that too much for a (mad) man to ask?EgyptAirHijack EgyptAir	turns hijacker wanted hug possibly get laid much mad man ask egyptairhijack egyptair	turn hijack want hug possibl get laid much mad man ask egyptairhijack egyptair
714749741821767680	2016-03-29 09:43:12	I think we need to ban all creepy men obsessed with their ex wives, just until the government can figure out what's going on  #EgyptAir	I think we need to ban all creepy men obsessed with their ex wives, just until the government can figure out what's going on #EgyptAir	I think we need to ban all creepy men obsessed with their ex wives, just until the government can figure out what's going on EgyptAir	think need ban creepy men obsessed ex wives government figure what's going egyptair	think need ban creepi men obsess ex wive govern figur what go egyptair
714749740882243585	2016-03-29 09:43:12	EgyptAir aircraft hijacked by ‘love sick’ professor demanding to see Cypriot ex-wife -  This has surely made my afternoon.	EgyptAir aircraft hijacked by ‘love sick’ professor demanding to see Cypriot ex-wife - This has surely made my afternoon.	EgyptAir aircraft hijacked by ‘love sick’ professor demanding to see Cypriot ex-wife - This has surely made my afternoon.	egyptair aircraft hijacked love sick professor demanding see cypriot ex-wife surely made afternoon	egyptair aircraft hijack love sick professor demand see cypriot ex-wif sure made afternoon
714749738697015296	2016-03-29 09:43:11	Authorities say 7 people on #EgyptAir plane w/hijacker, 4 crew &amp; 3 passengers. Hijacker ID'd as Ibrahim Samaha, Egyptian-American citizen	Authorities say 7 people on #EgyptAir plane w/hijacker, 4 crew &amp; 3 passengers. Hijacker ID'd as Ibrahim Samaha, Egyptian-American citizen	Authorities say 7 people on EgyptAir plane w/hijacker, 4 crew  &  3 passengers. Hijacker ID'd as Ibrahim Samaha, Egyptian-American citizen	authorities say people egyptair plane hijacker crew passengers hijacker id'd ibrahim samaha egyptian-american citizen	author say peopl egyptair plane hijack crew passeng hijack id'd ibrahim samaha egyptian-american citizen
714749738239856640	2016-03-29 09:43:11	This guy could have hijacked a rocket heading to Mars,divert it to moon and demand to see his ex wife there #EgyptAir	This guy could have hijacked a rocket heading to Mars,divert it to moon and demand to see his ex wife there #EgyptAir	This guy could have hijacked a rocket heading to Mars,divert it to moon and demand to see his ex wife there EgyptAir	guy could hijacked rocket heading mars divert moon demand see ex wife egyptair	guy could hijack rocket head mar divert moon demand see ex wife egyptair
714749737757458433	2016-03-29 09:43:11	Hijacked EgyptAir plane 'carried 21 foreigners including 8 Americans' https://t.co/VDY7kdgUyI	Hijacked EgyptAir plane 'carried 21 foreigners including 8 Americans' 	Hijacked EgyptAir plane 'carried 21 foreigners including 8 Americans' 	hijacked egyptair plane carried 21 foreigners including americans	hijack egyptair plane carri 21 foreign includ american
